,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
255686,2008,1,18,5,851.0,845,1043.0,1039,UA,1619,N482UA,112.0,114.0,90.0,4.0,6.0,DEN,PHX,602,7.0,15.0,0,N,0,,,,,
255687,2008,1,19,6,838.0,825,1033.0,1019,UA,1619,N473UA,115.0,114.0,95.0,14.0,13.0,DEN,PHX,602,7.0,13.0,0,N,0,,,,,
255702,2008,1,3,4,1105.0,1045,1631.0,1622,UA,1620,N458UA,206.0,217.0,188.0,9.0,20.0,LAX,MSY,1671,2.0,16.0,0,N,0,,,,,
255704,2008,1,6,7,1104.0,1045,1637.0,1622,UA,1620,N452UA,213.0,217.0,185.0,15.0,19.0,LAX,MSY,1671,5.0,23.0,0,N,0,15.0,0.0,0.0,0.0,0.0
255709,2008,1,11,5,1051.0,1040,1611.0,1614,UA,1620,N477UA,200.0,214.0,180.0,-3.0,11.0,LAX,MSY,1671,4.0,16.0,0,N,0,,,,,
255710,2008,1,13,7,1050.0,1040,1615.0,1614,UA,1620,N488UA,205.0,214.0,187.0,1.0,10.0,LAX,MSY,1671,5.0,13.0,0,N,0,,,,,
255711,2008,1,14,1,1248.0,1040,1807.0,1614,UA,1620,N456UA,199.0,214.0,188.0,113.0,128.0,LAX,MSY,1671,2.0,9.0,0,N,0,5.0,0.0,0.0,0.0,108.0
255716,2008,1,20,7,1055.0,1040,1633.0,1614,UA,1620,N493UA,218.0,214.0,193.0,19.0,15.0,LAX,MSY,1671,3.0,22.0,0,N,0,15.0,0.0,4.0,0.0,0.0
255717,2008,1,21,1,1048.0,1040,1629.0,1614,UA,1620,N498UA,221.0,214.0,185.0,15.0,8.0,LAX,MSY,1671,10.0,26.0,0,N,0,8.0,0.0,7.0,0.0,0.0
255723,2008,1,28,1,1332.0,1040,1839.0,1614,UA,1620,N416UA,187.0,214.0,171.0,145.0,172.0,LAX,MSY,1671,2.0,14.0,0,N,0,80.0,0.0,0.0,0.0,65.0
